DeltaCoin,RSI,SMA,MACD,DeltaBTC
1,74.98184378584756,2141.417777777778,19.260778319158817,108.68000000000029
0,73.23928814432197,2134.174444444445,18.126071208072062,-222.16999999999825
1,81.37125646571056,2128.138888888889,17.078993095985425,-9.299999999995634
0,79.01704968380078,2120.9922222222226,14.466773496980295,148.5199999999968
1,80.26083578481729,2114.544444444445,12.040169230657739,546.2799999999988
1,77.85687847843468,2108.1922222222224,8.62017368737861,75.51000000000204
1,59.28609871400585,2103.2211111111114,5.226213213049505,45.150000000001455
0,55.144797214193034,2102.677777777778,5.241249651806811,-67.56999999999971
1,60.54099748479223,2102.317777777778,5.708568893249321,34.18000000000029
0,56.721784227302365,2102.0744444444445,5.727168086606525,-37.55000000000291
0,61.83154993431779,2101.5444444444443,6.14818497577744,41.150000000001455
1,61.938994226543,2100.5266666666666,6.154236569216664,43.85000000000582
0,58.444824585290476,2099.323333333333,6.063280798381129,15.089999999996508
0,61.00631646034336,2098.477777777777,6.336522257447996,-25.589999999996508
1,62.84422424629898,2097.694444444444,6.357910123274905,58.4600000000064
1,60.451570620745095,2096.4733333333334,6.123711942956106,-16.900000000001455
0,58.003311036968604,2095.108888888889,6.101245000906147,-86
1,64.23863908936619,2093.9100000000003,6.3401872675854065,9.610000000000582
1,59.20920147911132,2092.620000000001,5.951198127709176,-39.06999999999971
1,59.172682494431584,2092.10888888889,6.111416380046194,39.669999999998254
1,58.071216356452446,2091.574444444445,6.232110711137466,51.87000000000262
0,57.07063989110556,2091.251111111112,6.456384410659211,-30.739999999997963
1,59.65134349325365,2091.4788888888897,6.798400886620584,35.11999999999534
1,58.2589664597222,2092.6255555555563,6.843834266679096,47.650000000001455
1,55.18536215724179,2091.14888888889,7.034422555165747,-24.55999999999767
0,53.88668053394967,2090.110000000001,7.672236369849998,-67.61000000000058
1,57.827185711779045,2089.572222222223,8.579377109757843,28.62000000000262
1,57.6633977404459,2089.1722222222234,9.094173078007316,-19.110000000000582
0,57.52606864867843,2089.4366666666674,9.648488323620313,50.93000000000029
0,57.74011911073274,2089.4044444444457,10.242127225132208,-92.75
0,60.00112467259717,2090.786666666668,10.818268117969183,-7.669999999998254
1,67.87952059524213,2090.8122222222237,11.040931321292192,396.6100000000006
1,55.17897526367754,2089.3988888888907,10.030280627041975,92.44999999999709
0,54.57340907848583,2090.8844444444458,11.230500568169646,-45
0,56.457172817091156,2092.373333333335,12.694774012035396,15.219999999993888
0,61.4437441843813,2093.936666666668,14.124522676576362,-219.95999999999913
1,66.33413851054982,2094.545555555557,15.099445187658148,41.070000000006985
0,65.00222089485754,2093.7866666666678,15.544827080891082,-137
1,77.71885698397622,2093.6155555555565,16.18551703071398,347
1,74.64060452975639,2087.7077777777786,15.439117409859136,59.11999999999534
1,73.94685232575127,2083.054444444445,15.149725640551878,29.56999999999971
1,74.15500052555565,2077.6155555555565,14.744287772955431,74.52999999999884
0,73.84393485071564,2072.3733333333344,13.991975617980188,-64.12000000000262
1,76.83530079685411,2067.0300000000007,12.920886640277331,135.19000000000233
1,76.19696145986302,2061.091111111112,11.043083812151053,50.229999999995925
0,74.26828901970879,2055.1144444444453,8.715806983347193,47.23999999999796
1,76.31523630433117,2049.89888888889,6.292616456644055,258.23999999999796
0,59.27808572682409,2043.9288888888898,2.8679243086457973,-43.93999999999505
1,62.038507627798715,2042.012222222223,2.3832019770752595,30.469999999993888
0,55.37045692488415,2039.4544444444457,1.4681825360223684,-41.229999999995925
1,57.44923656615557,2038.52888888889,1.1830750671001624,6.989999999997963
1,56.03319590470336,2038.4600000000012,0.6013840785180946,-21.75
1,54.335194588254176,2038.5500000000013,0.03549653922186735,15.400000000001455
0,52.30454654895563,2037.2422222222235,-0.4643162333229611,4.120000000002619
1,52.496303702767975,2036.0877777777787,-0.8307781177959441,79.88999999999942
1,49.162931252309136,2034.5744444444451,-1.3098508777188727,47.80000000000291
1,47.54263743563346,2034.646666666667,-1.451215005799213,-48.63999999999942
0,45.065175354239805,2034.8611111111115,-1.3967202746462135,-97.98999999999796
0,48.96385585661408,2035.374444444445,-0.9810310683430998,-154.47000000000116
1,56.52990942850065,2035.4644444444452,-1.0277545749404453,-12.150000000001455
1,56.277150312700286,2034.9422222222229,-2.0580416022712598,197.70000000000437
1,45.0387633004441,2033.9188888888898,-3.303418257485646,-36.94999999999709
1,43.93342763858692,2033.3455555555565,-3.3410674682143053,49.33999999999651
0,41.23485418055777,2033.090000000001,-3.2163060249156388,-129.8199999999997
1,48.31804138438163,2033.4144444444455,-2.70482787692481,-68.81000000000495
1,47.62181776950242,2032.6600000000014,-3.0145437261883217,-13.159999999996217
0,47.211118541925806,2031.9733333333347,-3.2825149559580495,-106.08999999999651
0,48.59874855962625,2031.0911111111122,-3.524870744414102,-75.38999999999942
1,51.53112982743611,2031.3466666666677,-3.986570376306645,182.75
1,48.115184014098205,2030.9322222222233,-4.942462337357483,183.09999999999854
0,39.44537763223059,2030.630000000001,-5.5917286245555715,-102.90999999999622
0,40.40447560225629,2030.7433333333345,-5.247603360222001,-79.63999999999942
1,41.67827497982019,2031.33888888889,-4.899027428505633,51.23999999999796
1,41.749845161787356,2032.1922222222233,-4.608895567609352,82.29999999999563
1,41.59941641697797,2035.0266666666676,-4.184779693263863,73.01000000000204
0,40.04531721953451,2037.9733333333343,-3.5612022726520536,-219.73999999999796
1,46.20112380697025,2040.9788888888902,-2.482364150014064,5.860000000000582
1,45.00829742283219,2042.1411111111124,-2.3155218313015666,91.77999999999884
1,42.533910262764856,2045.5144444444459,-1.879508226962571,23.4800000000032
0,37.87646469611437,2049.815555555557,-0.8995852886682769,-46.75
0,40.486892353211346,2053.4422222222233,1.0749285022261574,17.80000000000291
0,42.55444782842296,2056.8955555555567,2.970618053480848,-304.26000000000204
0,52.380474884960584,2058.900000000001,4.88474372721339,-51.80000000000291
1,52.88556528960051,2059.0000000000014,5.428158769290803,53.33999999999651
1,51.94979443495205,2058.8788888888903,5.961344386352266,168.3199999999997
0,49.62723607120013,2058.5333333333347,6.7323362919637475,-306.3799999999974
0,60.97742401171581,2058.791111111112,8.06138652360687,-55.150000000001455
1,64.35642663246963,2057.045555555557,7.803681378924466,230.65000000000146
0,58.03872519118547,2054.503333333335,6.9071387196547676,-80.29999999999563
1,61.46508880421489,2053.550000000001,6.991084071355317,98.9800000000032
0,56.92396574084574,2052.5855555555568,6.546504006488249,127.61000000000058
1,57.53129372446518,2053.691111111112,6.749290847235898,-13.87000000000262
1,56.9118028799196,2054.2088888888898,6.826458184375497,15.160000000003492
0,54.98526867774723,2054.613333333334,6.946821466552137,1
0,55.64889897343726,2057.1344444444453,7.382240470834859,21.37999999999738
1,55.65467425362363,2057.802222222223,7.72065177490731,99.22000000000116
